Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
jun/17;SESC;33.469.164/0001-11;388.141.110
jun/17;SEBRAE;00.330.854/0001-45;253.382.084
jun/17;EMBRATUR;35.842.428/0001-66;0
jun/17;DPC;852001 / 00001;12.288.117
jun/17;ANAC;122002 / 00001;18.744.632
jun/17;SENAR;37.138.245/0001-90;69.562.429
jun/17;SEST;73.471.989/0001-95;38.365.845
jun/17;SENAT;73.471.963/0001-47;24.201.400
jun/17;SESCOOP;03.087.543/0001-86;27.312.313
jun/17;SDR;420013 / 00001;19.757.997
jun/17;APEX-BR;05.507.500/0001-38;36.932.210
jun/17;ABDI;07.200.966/0001-11;6.029.862
jul/17;FNDE;153173 / 15253;1.545.570.493
jul/17;INCRA;373001 / 37201;110.133.733
jul/17;SENAI;33.564.543/0001-90;113.041.104
jul/17;SESI;33.641.358/0001-52;161.742.520
jul/17;SENAC;33.469.172/0001-68;210.357.945
jul/17;SESC;33.469.164/0001-11;381.612.994
jul/17;SEBRAE;00.330.854/0001-45;250.294.029
jul/17;EMBRATUR;35.842.428/0001-66;0
jul/17;DPC;852001 / 00001;12.223.731
jul/17;ANAC;122002 / 00001;18.195.489
jul/17;SENAR;37.138.245/0001-90;79.876.372
jul/17;SEST;73.471.989/0001-95;39.031.391
jul/17;SENAT;73.471.963/0001-47;24.552.802
jul/17;SESCOOP;03.087.543/0001-86;27.176.756
jul/17;SDR;420013 / 00001;19.424.430
jul/17;APEX-BR;05.507.500/0001-38;36.482.985
jul/17;ABDI;07.200.966/0001-11;5.956.499
ago/17;FNDE;153173 / 15253;1.556.726.519
ago/17;INCRA;373001 / 37201;111.266.218
